,Muscle Groups,Exercise,Sets,Reps
Chest + Shoulders + Triceps,,,,
,Chest + Shoulders + Triceps,Bench Press (Barbell),4,5
,Chest + Shoulders + Triceps,Incline Bench Press (Dumbbell),4,8
,Chest + Shoulders + Triceps,BtB Lateral Raises,4,15
,Chest + Shoulders + Triceps,Skull Crushers,3,8
Back + Biceps,,,,
,Back + Biceps,Deadlifts,4,5
,Back + Biceps,Rear Flies,4,15
,Back + Biceps,EZ-Bar Curls,3,8
,Back + Biceps,Bicep Curls,4,12
Chest + Shoulders,,,,
,Chest + Shoulders,Incline Bench Press (Barbell),3,8
,Chest + Shoulders,Dips,3,8
,Chest + Shoulders,Overhead Press (Dumbbell),3,10
,Chest + Shoulders,Cable Lateral Raises,5,12
,Chest + Shoulders,Rope Pulldowns,3,12
Back + Arms,,,,
,Back + Arms,Pull Ups,4,-
,Back + Arms,Rows (Barbell),4,8
,Back + Arms,Back Extensions,3,12
,Back + Arms,Hammer Curls,4,12
,Back + Arms,Cable Curls ,3,12
Legs,,,,
,Legs,Back Squats,4,5
,Legs,Split Squats,3,6
,Legs,Calf Raises,4,12

,,,Total Sets,Max Set Lift (lbs),Max Volume (lbs),Estimated 1RM (lbs)
Arms,,,,,,
,Arms,Bicep Curls,126,35,300,42
,Arms,Cable Curls,54,22,264,31
,Arms,Concentrated Curls,23,25,176,29
,Arms,Hammer Curls,107,40,330,48
,Arms,Rope Pulldowns,72,66,825,92
,Arms,Skull Crushers,75,75,900,105
,Arms,EZ-Bar Curls,33,60,480,76
Back,,,,,,
,Back,Back Extensions,9,25,300,35
,Back,Bent Over Row (Dumbbell),,,,
,Back,Deadlifts,110,335,2450,391
,Back,Pull Ups,,,,
,Back,Rear Flies,102,110,1200,139
,Back,Rows (Barbell),64,155,1240,196
,Back,Seated Cable Rows,18,165,1320,209
Chest,,,,,,
,Chest,Bench Press (Barbell),128,215,1550,251
,Chest,Bench Press (Dumbbell),,,,
,Chest,Chest Flies,57,140,1260,177
,Chest,Dips,57,25,200,32
,Chest,Incline Bench Press (Barbell),53,165,990,198
,Chest,Incline Bench Press (Dumbbell),95,75,600,95
Legs,,,,,,
,Legs,Back Squat,80,315,1575,368
,Legs,Bulgarian Split Squats,18,50,600,70
,Legs,Calf Raises,79,230,2760,322
,Legs,Front Squat,23,185,1480,234
,Legs,Leg Extensions,,,,
,Legs,Split Squat,57,185,2220,259
Shoulders,,,,,,
,Shoulders,Arnold Press,24,50,500,67
,Shoulders,BtB Lateral Raises,91,20,247.5,25
,Shoulders,Cable Lateral Raises,45,16.5,240,24
,Shoulders,Egyptian Raises,15,35,280,44
,Shoulders,"Lateral, Front, Rear Raises",21,17.5,262.5,26
,Shoulders,Overhead Press (Barbell),,,,
,Shoulders,Overhead Press (Dumbbell),71,65,600,76
,Shoulders,Rear Delt Flies,8,25,250,33
,Shoulders,Seated Lateral Raises,27,30,300,40
,Shoulders,Shrugs,29,80,1200,105

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
January 2025,,,3,,0,,,0,0
,January 2025,"Jan 1, 2025",1,,,1,,0,0
,January 2025,"Jan 2, 2025",2,,,1,,0,0
,January 2025,"Jan 3, 2025",3,,,1,,0,0

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
February 2026,,,4,,60,,,480,76
,February 2026,"Feb 6, 2026",1,8,60,6,,480,76
,February 2026,"Feb 6, 2026",2,8,60,7,,480,76
,February 2026,"Feb 6, 2026",3,8,60,7,,480,76
,February 2026,"Feb 6, 2026",4,8,60,8,,480,76

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
January 2026,,,3,,140,,,1680,196
,January 2026,"Jan 30, 2026",1,12,130,6,,1560,182
,January 2026,"Jan 30, 2026",2,12,130,7,,1560,182
,January 2026,"Jan 30, 2026",3,12,140,7,,1680,196
February 2026,,,3,,140,,,1680,196
,February 2026,"Feb 17, 2026",1,12,140,7,,1680,196
,February 2026,"Feb 17, 2026",2,12,140,8,,1680,196
,February 2026,"Feb 17, 2026",3,12,140,8,,1680,196
March 2026,,,3,,140,,,1680,196
,March 2026,"Mar 10, 2026",1,12,140,7,,1680,196
,March 2026,"Mar 10, 2026",2,12,140,7,,1680,196
,March 2026,"Mar 10, 2026",3,12,140,8,,1680,196

,,Date,Set,Reps,Weight (lbs),Difficulty,,Volume (lbs),Est 1RM
January 2026,,,3,,60,,,480,76
,January 2026,"Jan 27, 2026",1,8,50,7,,400,63
,January 2026,"Jan 27, 2026",2,8,50,7,,400,63
,January 2026,"Jan 27, 2026",3,8,60,8,,480,76
February 2026,,,6,,60,,,480,76
,February 2026,"Feb 9, 2026",1,8,60,8,,480,76
,February 2026,"Feb 9, 2026",2,8,60,8,,480,76
,February 2026,"Feb 9, 2026",3,8,60,9,,480,76
,February 2026,"Feb 21, 2026",1,8,60,8,,480,76
,February 2026,"Feb 21, 2026",2,8,60,9,,480,76
,February 2026,"Feb 21, 2026",3,8,50,8,,400,63
March 2026,,,9,,60,,,480,76
,March 2026,"Mar 1, 2026",1,8,60,8,,480,76
,March 2026,"Mar 1, 2026",2,8,60,9,,480,76
,March 2026,"Mar 1, 2026",3,8,60,9,,480,76
,March 2026,"Mar 8, 2026",1,8,60,8,,480,76
,March 2026,"Mar 8, 2026",2,8,60,8,,480,76
,March 2026,"Mar 8, 2026",3,8,60,9,,480,76
,March 2026,"Mar 22, 2026",1,8,60,7,,480,76
,March 2026,"Mar 22, 2026",2,8,60,8,,480,76
,March 2026,"Mar 22, 2026",3,8,60,8,,480,76
April 2026,,,9,,60,,,480,76
,April 2026,"Apr 5, 2026",1,8,60,8,,480,76
,April 2026,"Apr 5, 2026",2,8,50,6,,400,63
,April 2026,"Apr 5, 2026",3,8,50,6,,400,63
,April 2026,"Apr 12, 2026",1,8,50,6,,400,63
,April 2026,"Apr 12, 2026",2,8,50,7,,400,63
,April 2026,"Apr 12, 2026",3,8,50,7,,400,63
,April 2026,"Apr 23, 2026",1,8,50,5,,400,63
